DATE	NEGCODE	NAME	SECTOR	WEIGHT	FORWARDReturn
2017-08-30	CSAN3	Cosan S.A. Indústria e Comércio	Basic Materials	0.00512	-0.06127770534550199
2017-08-30	CPFE3	CPFL Energia S.A.	Utilities	0.01111	0.0025820730357801656
2017-08-30	CYRE3	Cyrela Brazil Realty S.A. Empreendimentos e Participações	Industrial Goods	0.00297	0.020610687022900732
2017-08-30	ECOR3	EcoRodovias Infraestrutura e Logística S.A.	Industrial Goods	0.0017399999999999998	0.041470311027332826
2017-08-30	ELET3	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.00436	0.05618584548892486
2017-08-30	ELET6	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.00454	0.038038496791933926
2017-08-30	EMBR3	Embraer S.A.	Industrial Goods	0.01043	0.009523809523809419
2017-08-30	ENBR3	EDP - Energias do Brasil S.A.	Utilities	0.0028899999999999998	-0.0006662225183211051
2017-08-30	EGIE3	Engie Brasil Energia S.A.	Utilities	0.00641	0.0222222222222224
2017-08-30	EQTL3	Equatorial Energia S.A.	Utilities	0.010549999999999999	-0.01353965183752412
2017-08-30	ESTC3	Estácio Participações S.A.	Services	0.00508	0.1700913242009132
2017-08-30	FIBR3	Fibria Celulose S.A.	Consumer Goods	0.00624	0.03526871401151629
2017-08-30	GGBR4	Gerdau S.A.	Basic Materials	0.00777	-0.0812182741116752
2017-08-30	GOAU4	Metalurgica Gerdau S.A.	Basic Materials	0.00255	-0.10645724258289709
2017-08-30	HYPE3	Hypera S.A.	Healthcare	0.011080000000000001	0.07926829268292683
2017-08-30	ITSA4	Itaúsa - Investimentos Itaú S.A.	Financial	0.03535	0.043394406943105215
2017-08-30	ITUB4	Itaú Unibanco Holding S.A.	Financial	0.11452999999999999	0.051627110349889885
2017-08-30	JBSS3	JBS S.A.	Consumer Goods	0.0147	-0.07199100112485946
2017-08-30	KLBN11	Klabin S.A.	Basic Materials	0.00649	0.05350978135788261
2017-08-30	KROT3	Kroton Educacional S.A.	Services	0.01942	0.0760563380281691
